AABF;念念不忘
AAFO;朗朗上口
AAHC;錙銖必較
AATF;針鋒相對
ABAB;成人之美
ABCZ;令人切齒
ABHT;良禽擇木而居
ABOX;令人噴飯
ABVJ;令人髮指
ACRG;金屋藏嬌
ACUY;金蟬脫殼
AERP;鍜羽而歸
AETP;鍜羽而歸
AFWR;錦上添花
AHAQ;銘心鏤骨
AHDN;鉤心鬥角
AHHL;額手稱慶
AHKM;金科玉律
AHLV;感愧交集
AJDR;今是昨非
AKKC;金玉其外
AKMS;金玉滿堂
ALAY;點石成金
ALEM;金路為開
ALHU;鐵石心腸
ALKX;錦衣玉食
AMAF;犬馬之勞
AMHA;成敗利鈍
AMRJ;銅駝荊棘
AMSE;金迷紙醉
AMTW;貪贓枉法
ANGE;鐵案如山
ANRO;鐵窗風味
APOB;含血噴人
ARAF;金蘭之契
ARBN;華而不實
ARFW;良莠下齊
ARLL;金風颯颯
ARRB;今非昔比
ARWU;鏡花水月
ATKR;金枝玉葉
AWBT;金吾不禁
AWNB;盛況空前
AWSD;含沙射影
AWWW;感激流涕
AXKZ;含飴弄孫
AYKJ;金聲玉振
AYWW;金城湯池
BAHN;不合時宜
BAQS;不成體統
BAVP;不良副作用
BBAM;不義之財
BBBD;比比皆是
BBCC;不分軒輕
BBJA;分道揚鑣
BBLL;眾判親離
BBMG;義不容辭
BBMZ;不分彼此
BBST;阡陌縱橫
BBTO;陳陳相因
BBUG;美不勝收
BBZN;不入虎穴，焉得虎子。
BBZP;養尊處優
BCBJ;不屈不撓
BCBN;美輪美奐
BCBO;美中不足
BCCW;全軍覆沒
BCMP;動輒得咎
BCTR;前車可鑒
BCYU;防患未然
BDVA;不學無術
BDVM;不學無術
BEBW;人山人海
BEEO;義正辭嚴
BEEP;羞與為伍
BEEU;道貌岸然
BEFD;不出所料
BEFM;不出所料
BEGO;義正辭嚴
BENF;不翼而飛
BETF;不翼而飛
BEVF;隔岸觀火
BFBU;欲罷不能
BFBW;陽奉陰違
BFEB;舍己為人
BFOT;防火器材
BFPU;陽春白雪
BFRQ;不勞而獲
BFTT;不置可否
BGLJ;不如意事，十之八九。
BGLQ;不好意思
BGPY;不如歸去
BGRI;不教而誅
BGTI;不教而誅
BHAL;八拜之交
BHBG;坐懷不亂
BHBH;坐懷不亂
BHBJ;不心不古
BHFW;人心叵測
BHGL;不懷好意
BHRN;不必著急
BHYL;義憤填膺
BIEY;前功盡去
BIHM;不識時務
BIJE;不識抬舉
BIKM;不計其數
BITQ;人言可畏
BJAN;不速之客
BJBY;欲速不達
BJJS;欲擒故縱
BJPK;不按牌理出牌
BJVG;坐井觀天
BJWM;並駕齊驅
BKBH;不近人情
BKDP;不欺暗室
BKGD;養兵千日，用兵一時。
BKZP;羊質虎皮
BLDF;美麗大方
BHGL;不懷好意
BLJR;釜底抽薪
BLKI;不厭其詳
BLLP;貧病交迫
BLPR;分庭抗禮
BLRH;不亦樂乎
BLRX;附庸風雅
BMAL;貧賤之交
BMBH;並行不悖
BMGD;不見天日
BMLL;不關痛癢
BMRA;養精蓄銳
BMSP;不見經傳
BMTW;防微杜漸
BNBF;不負眾望
BNBG;眾寡不亂
BNFN;不安於室
BNKD;不求甚解
BNKN;不求甚解
BNNK;不用客氣
BNRW;不同凡響
BNUG;人定勝天
BNYV;人窮志短
BOED;不足為奇
BOEI;眾口一詞
BOEN;坐吃山空
BOJZ;不足掛齒
BPDD;不自量力
BPIR;前倨後恭
BPMN;不修邊幅
BPMO;不平刪鳴
BPWW;隨俗浮沉
BPYU;人傑地靈
BQBL;差強人意
BQNP;全體同仁
BQXD;不遺餘力
BRAN;入幕之賓
BRBT;翦草除根
BRBU;冷若冰霜
BRFH;公而忘私
BRFM;不恥下問
BRJG;不共戴天
BRJL;隔靴搔癢
BRMU;羞花閉月
BROW;全神貫注
BRQL;欲蓋彌彰
BRRR;並蒂蓮花
BRTG;不共戴天
BRTL;人非木石
BRWI;道聽塗說
BRWM;不二法門
BRWN;不二法門
BSBF;不三不四
BSBJ;不省人事
BSKM;首當其衝
BSMD;不造衛星
BSRN;不約而同
BSVA;不學無術
BSWW;曾經滄海
BTAR;不可救藥
BTBD;不可限量
BTCC;內憂外患
BTEY;舍本逐末
BTFH;以而忘私
BTFL;否極泰來
BTJJ;不可捉摸
BTLT;人云亦云
BTOH;人面獸心
BTQI;不可思議
BTSB;入木三分
BTTR;人面桃花
BTWW;人材濟濟
BUAU;不時之需
BUKQ;冰肌玉骨
BURD;冰雪聰明
BURY;不脛而走
BUSM;羊腸小徑
BUTE;不勝枚舉
BUTY;不脛而走
BVAM;眾矢之目
BVBS;不知不覺
BVBS;不知不覺
BVFJ;不知所措
BVFT;不知所云
BVLD;不知鹿死誰手
BVLF;義無反顧
BWEW;隨波逐流
BWKW;冰清玉潔
BWTW;人慾橫流
BYAY;眾志成城
BYBH;隨聲附和
JYGL;捲士重來
BYBQ;不遠千里
BYHY;人地生疏
BYIT;不堪設想
BYMT;入鄉問俗
BYOH;不堪回首
BYTN;人出樓空
CAJA;斬釘截鐵
CAOA;中華民族
CAOF;中華民族
CAOH;中華民國
CBGE;履險如夷
CBRL;中途而廢
CCAM;中央銀行
CCAS;七尺之軀
CCEU;中央山脈
CCGW;咫咫天涯
CCLL;輕車熟路
CCNN;蟬連冠軍
CCSC;螳臂當車
CCYB;多多益善
CDBM;名列前矛
CDCS;患得患失
CDSH;蠅頭小利
CEBN;層出不窮
CEFG;輕舉妄動
CEIS;名正言順
CFBR;七上八落
CFNV;眉飛色舞
CFWM;輕於鴻毛
CGAB;怨天尤人
CGGC;避重就輕
CHBS;中心人物
CHFW;居心叵測
CIBR;忠言逆耳
CINP;輕諾寡信
CJDQ;車載斗量
CJTM;屈指可數
CJWN;輕描淡寫
CLAB;中庸之道
CLJT;中流砥柱
CLKL;切磋琢磨
CMBC;不看不中用
CMCS;患得患失
CMPB;輕財仗義
CNEN;轉危為安
CNQN;居安思危
CPRV;遺臭萬年
CQCJ;外強中乾
CQRF;居高臨下
CRBT;斬草除根
CREE;輕而易舉
CRZE;名落孫山
CSBS;連綿不絕
CSFP;連續放假
CSMO;蛛絲馬跡
CTBL;中橫公路
CTDE;輕而易舉
CTJY;連根拔起
CUCR;多才多藝
CVBP;史無前例
CVWW;輕鬆活潑
CWGF;名滿天下
CWLM;車水龍馬
CWML;車水馬龍
CXHJ;中飽私囊
CXNF;名存實亡
CYEA;遷地為良
DARY;晨鐘暮鼓
DBEE;量入為出
DBFF;得隴望蜀
DBHY;日坐愁城
DBMH;力不從心
DBNP;殊途同歸
DBPS;得不償失
DBWL;大義滅親
DCSB;退避三舍
DDAF;星星之火，可以憭原
DDGS;暴殄天物
DDKR;明日黃花
DEHZ;忍一時之氣，免百日之憂。
DERJ;負嵎頑抗
DERP;日出而作，日入而息。
DETP;日出而作，日入而息。
DFDG;忍辱負重
DFEB;天下為公
DFSZ;日上三竿
DFTP;星羅棋佈
DGUU;晴天霹靂
DHIH;得心應手
DHUQ;日積月累
DHYY;死心塌地
DIBH;大言不慚
DJPS;明哲保身
DLFK;得意忘形
DLGB;豆剖瓜分
DLUQ;日新月異
DMQU;明目張膽
DNEE;頭角崢嶸
DNEU;頭角嶄然
DNHL;明察秋毫
DNSQ;大同小異
DODA;大器晚成
DOPL;奮戰到底
DPTC;奇貨可居
DQQU;大丈夫能屈能伸，敢做敢當。
DREK;曇花一現
DRIF;負荊請罪
DTML;大相徑庭
DTSN;大材小用
DUGT;日月如梭
DVEZ;旱魃為虐
DVJQ;明知故犯
DVRQ;大智若愚
DVTD;忍無可忍
DXMF;死灰復燃
DXXJ;死有餘辜
DYFY;大勢已去
DYLO;大聲疾呼
EABL;一成不變
EABN;雞犬不寧
EABP;一錢不值
EABS;一成不變
EAOT;融會貫通
EARW;貌合神離
EBAL;醉翁之意不在酒
EBEB;盡善盡美
EBKB;兩全其美
EBPG;為不作嫁
EBPR;一不做，二不休
ECBB;群蟻附羶
ECBE;雪中送炭
ECFH;正中下懷
ECGE;雪中送炭
ECWO;畫蛇添足
EDEF;一刀兩斷
EDGQ;一日千里
EDJN;一暴十寒
EDLE;盡量享受
EDSH;一日三秋
EDSU;出其制勝
EDTI;一呼百諾
EDWJ;山盟海誓
EEDE;酩酊大醉
EELS;舉一反三
EETN;岌岌可危
EFJE;雪上加霜
EFWE;逼上梁山
EGBG;一動不如一靜
EGIA;一將功成萬骨枯
EGLS;易如反掌
EGNL;晉天同慶
EHEM;一心一德
EHLE;盡情享受
EHWW;兩情繾繾
EIKM;一言九鼎
EIPE;一言既出，四馬難追
EISF;一言興邦
EJEC;一朝一夕
